engine,symbol,session_date,start_idx,end_idx,open_time,close_time,open,high,low,close,volume,n_source_bars,notional,signed_notional,variance,log_return,reason
vol_budget,ES,2020-01-30,1524,1524,2020-01-30T09:30:00-05:00,2020-01-30T09:30:00-05:00,3249.0,3259.0,3248.5,3258.5,59791.0,1,194639635.33333334,194639635.33333334,3.7559995997186033e-06,0.002919710103334846,budget
vol_budget,ES,2020-01-30,1525,1527,2020-01-30T09:35:00-05:00,2020-01-30T09:45:00-05:00,3258.5,3264.75,3257.0,3262.0,123683.0,3,403401967.0833334,182003092.41666666,3.395541824163211e-06,0.0010735374085241852,budget
vol_budget,ES,2020-01-30,1528,1533,2020-01-30T09:50:00-05:00,2020-01-30T10:15:00-05:00,3262.0,3264.5,3255.75,3256.75,140506.0,6,458053097.0,-152992170.5,4.5703305742623475e-06,-0.001610738603285741,budget
vol_budget,ES,2020-01-30,1534,1539,2020-01-30T10:20:00-05:00,2020-01-30T10:45:00-05:00,3256.75,3258.5,3244.0,3247.5,123810.0,6,402582479.0,-175848705.0,3.3916101356339e-06,-0.002844296032918794,budget
vol_budget,ES,2020-01-30,1540,1544,2020-01-30T10:50:00-05:00,2020-01-30T11:10:00-05:00,3247.5,3252.0,3241.0,3252.0,135062.0,5,438332441.3333333,80238442.33333333,4.550694112353222e-06,0.0013847221229466983,budget
vol_budget,ES,2020-01-30,1545,1551,2020-01-30T11:15:00-05:00,2020-01-30T11:45:00-05:00,3252.0,3260.5,3249.5,3259.25,144313.0,7,469752692.0833334,216101839.41666666,3.6381232331556176e-06,0.002226915875186869,budget
vol_budget,ES,2020-01-30,1552,1560,2020-01-30T11:50:00-05:00,2020-01-30T12:30:00-05:00,3259.5,3262.75,3250.5,3251.75,119253.0,9,388376402.1666666,21411644.833333332,3.5198320292309027e-06,-0.002380496420743886,budget
vol_budget,ES,2020-01-30,1561,1564,2020-01-30T12:35:00-05:00,2020-01-30T12:50:00-05:00,3251.5,3252.25,3244.0,3246.5,108227.0,4,351381961.5,-56435967.5,3.5715035328419034e-06,-0.001538935360665031,budget
vol_budget,ES,2020-01-30,1565,1572,2020-01-30T12:55:00-05:00,2020-01-30T13:30:00-05:00,3246.25,3252.75,3246.0,3251.5,72833.0,8,236632037.66666666,138881870.3333333,3.369666908244528e-06,0.0016159443322484074,budget
vol_budget,ES,2020-01-30,1573,1586,2020-01-30T13:35:00-05:00,2020-01-30T14:40:00-05:00,3251.25,3267.25,3248.75,3255.75,207529.0,14,675691398.75,455749705.25,9.561351381459491e-06,0.0013831260849513473,budget
vol_budget,ES,2020-01-30,1587,1587,2020-01-30T14:45:00-05:00,2020-01-30T14:45:00-05:00,3255.75,3263.5,3252.5,3260.75,63536.0,1,207058529.3333333,207058529.3333333,4.111483797340978e-06,0.0015345664025798109,budget
vol_budget,ES,2020-01-30,1588,1589,2020-01-30T14:50:00-05:00,2020-01-30T14:55:00-05:00,3261.0,3267.25,3256.5,3264.5,57424.0,2,187297281.33333334,6833709.666666657,3.6314367466826414e-06,0.0010727148373689906,budget
vol_budget,ES,2020-01-30,1590,1591,2020-01-30T15:00:00-05:00,2020-01-30T15:05:00-05:00,3264.5,3271.0,3263.5,3264.0,64356.0,2,210277213.0,32972098.0,3.439825362404139e-06,-0.00015317454269054206,budget
