engine,symbol,session_date,start_idx,end_idx,open_time,close_time,open,high,low,close,volume,n_source_bars,notional,signed_notional,variance,log_return,reason
dollar_imbalance,MGC,2020-01-02,0,50,2020-01-02T08:30:00-05:00,2020-01-02T12:40:00-05:00,1526.8,1533.9,1525.4,1527.7,10310.0,51,15776120.633333335,31120.0,0.0,0.0005892945006024206,budget
dollar_imbalance,MGC,2020-01-02,51,59,2020-01-02T12:45:00-05:00,2020-01-02T13:25:00-05:00,1527.6,1528.4,1527.1,1528.0,326.0,9,498091.56666666677,-760.0,0.0,0.00026181437510481177,session_end
dollar_imbalance,MGC,2020-01-03,60,61,2020-01-03T08:30:00-05:00,2020-01-03T08:35:00-05:00,1545.1,1549.0,1544.9,1548.5,643.0,2,994776.9666666667,6430.0,0.0,0.0021980872568850307,budget
dollar_imbalance,MGC,2020-01-03,62,71,2020-01-03T08:40:00-05:00,2020-01-03T09:25:00-05:00,1548.4,1550.5,1547.2,1550.5,1857.0,10,2876017.8333333335,4670.0,0.0,0.00135531983701057,budget
dollar_imbalance,MGC,2020-01-03,72,72,2020-01-03T09:30:00-05:00,2020-01-03T09:30:00-05:00,1550.5,1550.7,1546.7,1547.1,622.0,1,962959.6666666667,-6220.0,0.0,-0.0021952488154807293,budget
dollar_imbalance,MGC,2020-01-03,73,77,2020-01-03T09:35:00-05:00,2020-01-03T09:55:00-05:00,1547.0,1549.0,1546.5,1549.0,779.0,5,1205896.9666666668,3470.0,0.0,0.0012919898438025052,budget
dollar_imbalance,MGC,2020-01-03,78,78,2020-01-03T10:00:00-05:00,2020-01-03T10:00:00-05:00,1549.2,1553.0,1548.8,1551.8,713.0,1,1106005.6,7130.0,0.0,0.0016768788192517373,budget
dollar_imbalance,MGC,2020-01-03,79,81,2020-01-03T10:05:00-05:00,2020-01-03T10:15:00-05:00,1551.8,1553.2,1550.8,1552.8,1032.0,3,1601574.9999999998,5260.0,0.0,0.0006442053949515445,budget
dollar_imbalance,MGC,2020-01-03,82,83,2020-01-03T10:20:00-05:00,2020-01-03T10:25:00-05:00,1552.6,1553.6,1551.9,1552.4,496.0,2,770136.6,-4960.0,0.0,-0.00012882447682864478,budget
dollar_imbalance,MGC,2020-01-03,84,87,2020-01-03T10:30:00-05:00,2020-01-03T10:45:00-05:00,1552.2,1552.9,1550.2,1550.9,899.0,4,1394801.8000000003,-3790.0,0.0,-0.0008378718546313053,budget
dollar_imbalance,MGC,2020-01-03,88,97,2020-01-03T10:50:00-05:00,2020-01-03T11:35:00-05:00,1550.7,1552.9,1549.9,1552.7,1274.0,10,1976536.5,4760.0,0.0,0.0012889091170207858,budget
dollar_imbalance,MGC,2020-01-03,98,119,2020-01-03T11:40:00-05:00,2020-01-03T13:25:00-05:00,1552.8,1553.0,1549.4,1552.4,1985.0,22,3078953.833333333,3390.0,0.0,-0.00025763236004919905,budget
dollar_imbalance,MGC,2020-01-06,120,120,2020-01-06T08:30:00-05:00,2020-01-06T08:30:00-05:00,1576.5,1577.4,1575.2,1575.7,451.0,1,710821.1000000001,-4510.0,0.0,-0.000507582017115636,budget
dollar_imbalance,MGC,2020-01-06,121,121,2020-01-06T08:35:00-05:00,2020-01-06T08:35:00-05:00,1575.9,1576.4,1574.3,1574.4,442.0,1,696164.7333333334,-4420.0,0.0,-0.0009522903300366005,budget
dollar_imbalance,MGC,2020-01-06,122,123,2020-01-06T08:40:00-05:00,2020-01-06T08:45:00-05:00,1574.5,1575.9,1573.4,1575.5,624.0,2,982751.3666666667,6240.0,0.0,0.0006349206562499473,budget
dollar_imbalance,MGC,2020-01-06,124,130,2020-01-06T08:50:00-05:00,2020-01-06T09:20:00-05:00,1575.7,1577.8,1575.4,1577.4,1161.0,7,1830584.2666666666,3770.0,0.0,0.0010783039958907254,budget
dollar_imbalance,MGC,2020-01-06,131,133,2020-01-06T09:25:00-05:00,2020-01-06T09:35:00-05:00,1577.4,1578.7,1574.9,1575.5,1011.0,3,1593953.4333333333,-6270.0,0.0,-0.0012052397665612924,budget
