VAH_prior,VAL_prior,POC_prior,value_midpoint_prior,failed_auction_flag,failed_auction_side,target_level,tpo_confidence
,,,,False,0,,0.0
,,,,False,0,,0.0
,,,,False,0,,0.0
,,,,False,0,,0.0
,,,,False,0,,0.0
,,,,False,0,,0.0
,,,,False,0,,0.0
,,,,False,0,,0.0
,,,,False,0,,0.0
,,,,False,0,,0.0
,,,,False,0,,0.0
,,,,False,0,,0.0
,,,,False,0,,0.0
,,,,False,0,,0.0
,,,,False,0,,0.0
,,,,False,0,,0.0
,,,,False,0,,0.0
,,,,False,0,,0.0
,,,,False,0,,0.0
,,,,False,0,,0.0
,,,,False,0,,0.0
,,,,False,0,,0.0
,,,,False,0,,0.0
,,,,False,0,,0.0
,,,,False,0,,0.0
,,,,False,0,,0.0
,,,,False,0,,0.0
,,,,False,0,,0.0
,,,,False,0,,0.0
,,,,False,0,,0.0
,,,,False,0,,0.0
,,,,False,0,,0.0
,,,,False,0,,0.0
,,,,False,0,,0.0
,,,,False,0,,0.0
,,,,False,0,,0.0
,,,,False,0,,0.0
,,,,False,0,,0.0
,,,,False,0,,0.0
,,,,False,0,,0.0
,,,,False,0,,0.0
,,,,False,0,,0.0
,,,,False,0,,0.0
,,,,False,0,,0.0
,,,,False,0,,0.0
,,,,False,0,,0.0
,,,,False,0,,0.0
,,,,False,0,,0.0
,,,,False,0,,0.0
,,,,False,0,,0.0
,,,,False,0,,0.0
,,,,False,0,,0.0
,,,,False,0,,0.0
,,,,False,0,,0.0
,,,,False,0,,0.0
,,,,False,0,,0.0
,,,,False,0,,0.0
,,,,False,0,,0.0
,,,,False,0,,0.0
,,,,False,0,,0.0
,,,,False,0,,0.0
,,,,False,0,,0.0
,,,,False,0,,0.0
,,,,False,0,,0.0
,,,,False,0,,0.0
,,,,False,0,,0.0
74.14,73.64,73.8,73.89,False,0,73.8,0.0
74.14,73.64,73.8,73.89,False,0,73.8,0.0
74.14,73.64,73.8,73.89,False,0,73.8,0.0
74.14,73.64,73.8,73.89,False,0,73.8,0.0
74.14,73.64,73.8,73.89,False,0,73.8,0.0
74.14,73.64,73.8,73.89,False,0,73.8,0.0
74.14,73.64,73.8,73.89,False,0,73.8,0.0
74.14,73.64,73.8,73.89,False,0,73.8,0.0
74.14,73.64,73.8,73.89,False,0,73.8,0.0
74.14,73.64,73.8,73.89,False,0,73.8,0.0
74.14,73.64,73.8,73.89,False,0,73.8,0.0
74.14,73.64,73.8,73.89,False,0,73.8,0.0
74.14,73.64,73.8,73.89,False,0,73.8,0.0
74.14,73.64,73.8,73.89,False,0,73.8,0.0
74.14,73.64,73.8,73.89,False,0,73.8,0.0
74.14,73.64,73.8,73.89,False,0,73.8,0.0
74.14,73.64,73.8,73.89,False,0,73.8,0.0
74.14,73.64,73.8,73.89,False,0,73.8,0.0
74.14,73.64,73.8,73.89,False,0,73.8,0.0
74.14,73.64,73.8,73.89,False,0,73.8,0.0
74.14,73.64,73.8,73.89,False,0,73.8,0.0
74.14,73.64,73.8,73.89,False,0,73.8,0.0
74.14,73.64,73.8,73.89,False,0,73.8,0.0
74.14,73.64,73.8,73.89,False,0,73.8,0.0
74.14,73.64,73.8,73.89,False,0,73.8,0.0
74.14,73.64,73.8,73.89,False,0,73.8,0.0
74.14,73.64,73.8,73.89,False,0,73.8,0.0
74.14,73.64,73.8,73.89,False,0,73.8,0.0
74.14,73.64,73.8,73.89,False,0,73.8,0.0
74.14,73.64,73.8,73.89,False,0,73.8,0.0
74.14,73.64,73.8,73.89,False,0,73.8,0.0
74.14,73.64,73.8,73.89,False,0,73.8,0.0
74.14,73.64,73.8,73.89,False,0,73.8,0.0
74.14,73.64,73.8,73.89,False,0,73.8,0.0
74.14,73.64,73.8,73.89,False,0,73.8,0.0
74.14,73.64,73.8,73.89,False,0,73.8,0.0
74.14,73.64,73.8,73.89,False,0,73.8,0.0
74.14,73.64,73.8,73.89,False,0,73.8,0.0
74.14,73.64,73.8,73.89,False,0,73.8,0.0
74.14,73.64,73.8,73.89,False,0,73.8,0.0
74.14,73.64,73.8,73.89,False,0,73.8,0.0
74.14,73.64,73.8,73.89,False,0,73.8,0.0
74.14,73.64,73.8,73.89,False,0,73.8,0.0
74.14,73.64,73.8,73.89,False,0,73.8,0.0
74.14,73.64,73.8,73.89,False,0,73.8,0.0
74.14,73.64,73.8,73.89,False,0,73.8,0.0
74.14,73.64,73.8,73.89,False,0,73.8,0.0
74.14,73.64,73.8,73.89,False,0,73.8,0.0
74.14,73.64,73.8,73.89,False,0,73.8,0.0
74.14,73.64,73.8,73.89,False,0,73.8,0.0
74.14,73.64,73.8,73.89,False,0,73.8,0.0
74.14,73.64,73.8,73.89,False,0,73.8,0.0
74.14,73.64,73.8,73.89,False,0,73.8,0.0
74.14,73.64,73.8,73.89,False,0,73.8,0.0
74.14,73.64,73.8,73.89,False,0,73.8,0.0
74.14,73.64,73.8,73.89,False,0,73.8,0.0
74.14,73.64,73.8,73.89,False,0,73.8,0.0
74.14,73.64,73.8,73.89,False,0,73.8,0.0
74.14,73.64,73.8,73.89,False,0,73.8,0.0
74.14,73.64,73.8,73.89,False,0,73.8,0.0
74.14,73.64,73.8,73.89,False,0,73.8,0.0
74.14,73.64,73.8,73.89,False,0,73.8,0.0
74.14,73.64,73.8,73.89,False,0,73.8,0.0
74.14,73.64,73.8,73.89,False,0,73.8,0.0
74.14,73.64,73.8,73.89,False,0,73.8,0.0
74.14,73.64,73.8,73.89,False,0,73.8,0.0
75.12,73.86,74.28,74.49000000000001,False,0,74.28,0.0
75.12,73.86,74.28,74.49000000000001,False,0,74.28,0.0
75.12,73.86,74.28,74.49000000000001,False,0,74.28,0.0
75.12,73.86,74.28,74.49000000000001,False,0,74.28,0.0
75.12,73.86,74.28,74.49000000000001,False,0,74.28,0.0
75.12,73.86,74.28,74.49000000000001,False,0,74.28,0.0
75.12,73.86,74.28,74.49000000000001,False,0,74.28,0.0
75.12,73.86,74.28,74.49000000000001,False,0,74.28,0.0
75.12,73.86,74.28,74.49000000000001,False,0,74.28,0.0
75.12,73.86,74.28,74.49000000000001,False,0,74.28,0.0
75.12,73.86,74.28,74.49000000000001,False,0,74.28,0.0
75.12,73.86,74.28,74.49000000000001,False,0,74.28,0.0
75.12,73.86,74.28,74.49000000000001,False,0,74.28,0.0
75.12,73.86,74.28,74.49000000000001,False,0,74.28,0.0
75.12,73.86,74.28,74.49000000000001,False,0,74.28,0.0
75.12,73.86,74.28,74.49000000000001,False,0,74.28,0.0
75.12,73.86,74.28,74.49000000000001,False,0,74.28,0.0
75.12,73.86,74.28,74.49000000000001,False,0,74.28,0.0
75.12,73.86,74.28,74.49000000000001,False,0,74.28,0.0
75.12,73.86,74.28,74.49000000000001,False,0,74.28,0.0
75.12,73.86,74.28,74.49000000000001,False,0,74.28,0.0
75.12,73.86,74.28,74.49000000000001,False,0,74.28,0.0
75.12,73.86,74.28,74.49000000000001,False,0,74.28,0.0
75.12,73.86,74.28,74.49000000000001,False,0,74.28,0.0
75.12,73.86,74.28,74.49000000000001,False,0,74.28,0.0
75.12,73.86,74.28,74.49000000000001,False,0,74.28,0.0
75.12,73.86,74.28,74.49000000000001,False,0,74.28,0.0
75.12,73.86,74.28,74.49000000000001,False,0,74.28,0.0
75.12,73.86,74.28,74.49000000000001,False,0,74.28,0.0
75.12,73.86,74.28,74.49000000000001,False,0,74.28,0.0
75.12,73.86,74.28,74.49000000000001,False,0,74.28,0.0
75.12,73.86,74.28,74.49000000000001,False,0,74.28,0.0
75.12,73.86,74.28,74.49000000000001,False,0,74.28,0.0
75.12,73.86,74.28,74.49000000000001,False,0,74.28,0.0
75.12,73.86,74.28,74.49000000000001,False,0,74.28,0.0
75.12,73.86,74.28,74.49000000000001,False,0,74.28,0.0
75.12,73.86,74.28,74.49000000000001,False,0,74.28,0.0
75.12,73.86,74.28,74.49000000000001,False,0,74.28,0.0
75.12,73.86,74.28,74.49000000000001,False,0,74.28,0.0
75.12,73.86,74.28,74.49000000000001,False,0,74.28,0.0
75.12,73.86,74.28,74.49000000000001,False,0,74.28,0.0
75.12,73.86,74.28,74.49000000000001,False,0,74.28,0.0
75.12,73.86,74.28,74.49000000000001,False,0,74.28,0.0
75.12,73.86,74.28,74.49000000000001,False,0,74.28,0.0
75.12,73.86,74.28,74.49000000000001,False,0,74.28,0.0
75.12,73.86,74.28,74.49000000000001,False,0,74.28,0.0
75.12,73.86,74.28,74.49000000000001,False,0,74.28,0.0
75.12,73.86,74.28,74.49000000000001,False,0,74.28,0.0
75.12,73.86,74.28,74.49000000000001,False,0,74.28,0.0
75.12,73.86,74.28,74.49000000000001,False,0,74.28,0.0
75.12,73.86,74.28,74.49000000000001,False,0,74.28,0.0
75.12,73.86,74.28,74.49000000000001,False,0,74.28,0.0
75.12,73.86,74.28,74.49000000000001,False,0,74.28,0.0
75.12,73.86,74.28,74.49000000000001,False,0,74.28,0.0
75.12,73.86,74.28,74.49000000000001,False,0,74.28,0.0
75.12,73.86,74.28,74.49000000000001,False,0,74.28,0.0
75.12,73.86,74.28,74.49000000000001,False,0,74.28,0.0
75.12,73.86,74.28,74.49000000000001,False,0,74.28,0.0
75.12,73.86,74.28,74.49000000000001,False,0,74.28,0.0
75.12,73.86,74.28,74.49000000000001,False,0,74.28,0.0
75.12,73.86,74.28,74.49000000000001,False,0,74.28,0.0
75.12,73.86,74.28,74.49000000000001,False,0,74.28,0.0
75.12,73.86,74.28,74.49000000000001,False,0,74.28,0.0
75.12,73.86,74.28,74.49000000000001,False,0,74.28,0.0
75.12,73.86,74.28,74.49000000000001,False,0,74.28,0.0
75.12,73.86,74.28,74.49000000000001,False,0,74.28,0.0
75.4,73.24,74.66,74.32,True,1,74.66,1.0
75.4,73.24,74.66,74.32,True,1,74.66,1.0
75.4,73.24,74.66,74.32,True,1,74.66,1.0
75.4,73.24,74.66,74.32,True,1,74.66,1.0
75.4,73.24,74.66,74.32,True,1,74.66,1.0
75.4,73.24,74.66,74.32,True,1,74.66,1.0
75.4,73.24,74.66,74.32,True,1,74.66,1.0
75.4,73.24,74.66,74.32,True,1,74.66,1.0
75.4,73.24,74.66,74.32,True,1,74.66,1.0
75.4,73.24,74.66,74.32,True,1,74.66,1.0
75.4,73.24,74.66,74.32,True,1,74.66,1.0
75.4,73.24,74.66,74.32,True,1,74.66,1.0
75.4,73.24,74.66,74.32,True,1,74.66,1.0
75.4,73.24,74.66,74.32,True,1,74.66,1.0
75.4,73.24,74.66,74.32,True,1,74.66,1.0
75.4,73.24,74.66,74.32,True,1,74.66,1.0
75.4,73.24,74.66,74.32,True,1,74.66,1.0
75.4,73.24,74.66,74.32,True,1,74.66,1.0
75.4,73.24,74.66,74.32,True,1,74.66,1.0
75.4,73.24,74.66,74.32,True,1,74.66,1.0
75.4,73.24,74.66,74.32,True,1,74.66,1.0
75.4,73.24,74.66,74.32,True,1,74.66,1.0
75.4,73.24,74.66,74.32,True,1,74.66,1.0
75.4,73.24,74.66,74.32,True,1,74.66,1.0
75.4,73.24,74.66,74.32,True,1,74.66,1.0
75.4,73.24,74.66,74.32,True,1,74.66,1.0
75.4,73.24,74.66,74.32,True,1,74.66,1.0
75.4,73.24,74.66,74.32,True,1,74.66,1.0
75.4,73.24,74.66,74.32,True,1,74.66,1.0
75.4,73.24,74.66,74.32,True,1,74.66,1.0
75.4,73.24,74.66,74.32,True,1,74.66,1.0
75.4,73.24,74.66,74.32,True,1,74.66,1.0
75.4,73.24,74.66,74.32,True,1,74.66,1.0
75.4,73.24,74.66,74.32,True,1,74.66,1.0
75.4,73.24,74.66,74.32,True,1,74.66,1.0
75.4,73.24,74.66,74.32,True,1,74.66,1.0
75.4,73.24,74.66,74.32,True,1,74.66,1.0
75.4,73.24,74.66,74.32,True,1,74.66,1.0
75.4,73.24,74.66,74.32,True,1,74.66,1.0
75.4,73.24,74.66,74.32,True,1,74.66,1.0
75.4,73.24,74.66,74.32,True,1,74.66,1.0
75.4,73.24,74.66,74.32,True,1,74.66,1.0
75.4,73.24,74.66,74.32,True,1,74.66,1.0
75.4,73.24,74.66,74.32,True,1,74.66,1.0
75.4,73.24,74.66,74.32,True,1,74.66,1.0
